Average wind speed (m/s);Average power (kW);Input turbulence intensity (%);Input alpha
16.9922;4959.28;30.95;-0.1
5.9834;794.818;14.51;0.48
12.1691;4740.3;19.81;0.45
4.23563;282.372;22.71;-0.11
16.0786;4964.27;26.28;0.08
12.9663;4984.05;6.23;-0.25
16.2452;4918.35;35.03;-0.1
13.1803;4869.35;27.31;0.04
10.3136;3731.14;44.5;0.29
19.3897;4986.67;5.98;-0.04
10.6589;4379.12;16.54;-0.38
11.8333;4820.52;19.24;0.12
6.06099;762.692;7.52;0.28
24.3556;4916.65;36.78;-0.38
12.2049;4558.28;32.55;-0.38
15.7931;4971.94;22.97;0.03
14.8144;4716.24;33.39;0.08
11.9719;4266.52;29.37;0.15
20.2373;4984.84;19.64;-0.07
5.04397;455.576;17.39;0.2
5.36928;712.547;36.51;0.23
13.366;4983.06;6.29;-0.07
20.7698;4984.21;20.13;0.08
16.5276;4985.64;16.53;0.34
17.019;4978.06;22.32;0.26
15.1854;4827.49;30.57;0.25
4.96913;433.708;17.34;0.3
14.4533;4955;23.17;0.26
23.0305;4987.06;9.4;0.35
11.2407;4255.29;24.9;0.25
7.93818;1725.99;5.93;0.45
11.4426;4619.92;13.96;0.36
3.44411;195.393;41.18;-0.47
3.83619;171.617;8.91;0.36
13.3936;4983.18;7.3;0.09
11.5081;4281.42;29.96;-0.05
14.6863;4897.74;27.36;0.22
16.7446;4984.51;17.95;0.08
3.70764;172.866;23.14;-0.03
6.6205;1268.87;22.05;-0.36
16.8983;4985.13;10.24;-0.48
16.8329;4959.26;38.64;-0.48
24.4865;4963.74;26.12;0.38
16.3923;4985.76;9.66;0.06
18.3822;4985.99;5.97;-0.25
12.1898;4447.73;26.96;0.35
19.8795;4970.8;26.52;-0.4
21.0925;4864.31;36.7;0.44
11.2421;4346.92;24.43;-0.04
10.3015;3720.16;31.11;0.4
21.5076;4916.46;39.03;0
4.00416;275.361;44.16;0.11
8.54009;2515.17;38.05;0.12
