Average wind speed (m/s);Average tip deflection out-of-plane (m);Average tip deflection in-plane (m);Input turbulence intensity (%);Input alpha
16.9922;2.10222;-0.33504;30.95;-0.1
5.9834;2.10693;-0.204082;14.51;0.48
12.1691;4.06583;-0.504404;19.81;0.45
4.23563;1.43137;-0.122853;22.71;-0.11
16.0786;2.48334;-0.369044;26.28;0.08
12.9663;3.56872;-0.472127;6.23;-0.25
16.2452;2.36067;-0.357978;35.03;-0.1
13.1803;3.65333;-0.471442;27.31;0.04
10.3136;3.91238;-0.454966;44.5;0.29
19.3897;1.57291;-0.271939;5.98;-0.04
10.6589;4.56787;-0.530546;16.54;-0.38
11.8333;4.58335;-0.543982;19.24;0.12
6.06099;2.1234;-0.204569;7.52;0.28
24.3556;0.358237;-0.146988;36.78;-0.38
12.2049;3.65532;-0.462525;32.55;-0.38
15.7931;2.58823;-0.377443;22.97;0.03
14.8144;2.79362;-0.389829;33.39;0.08
11.9719;3.72237;-0.456187;29.37;0.15
20.2373;1.33386;-0.249233;19.64;-0.07
5.04397;1.71243;-0.155279;17.39;0.2
5.36928;1.91103;-0.18396;36.51;0.23
13.366;3.52904;-0.465244;6.29;-0.07
20.7698;1.25426;-0.236111;20.13;0.08
16.5276;2.2076;-0.349271;16.53;0.34
17.019;2.09384;-0.333472;22.32;0.26
15.1854;2.64816;-0.383208;30.57;0.25
4.96913;1.67705;-0.15217;17.34;0.3
14.4533;3.0422;-0.421594;23.17;0.26
23.0305;0.689271;-0.170854;9.4;0.35
11.2407;4.44447;-0.511711;24.9;0.25
7.93818;3.08143;-0.323974;5.93;0.45
11.4426;4.65957;-0.544405;13.96;0.36
3.44411;1.21779;-0.100554;41.18;-0.47
3.83619;1.22777;-0.100801;8.91;0.36
13.3936;3.54836;-0.466591;7.3;0.09
11.5081;4.02299;-0.481892;29.96;-0.05
14.6863;2.93036;-0.410332;27.36;0.22
16.7446;2.22989;-0.343951;17.95;0.08
3.70764;1.22283;-0.100379;23.14;-0.03
6.6205;2.6432;-0.271574;22.05;-0.36
16.8983;1.85028;-0.325743;10.24;-0.48
16.8329;1.75387;-0.319174;38.64;-0.48
24.4865;0.347972;-0.134565;26.12;0.38
16.3923;2.37024;-0.358041;9.66;0.06
18.3822;1.72015;-0.294422;5.97;-0.25
12.1898;3.74148;-0.467208;26.96;0.35
19.8795;1.19347;-0.249168;26.52;-0.4
21.0925;0.886957;-0.208681;36.7;0.44
11.2421;4.31785;-0.506667;24.43;-0.04
10.3015;3.99485;-0.462666;31.11;0.4
21.5076;0.98316;-0.20861;39.03;0
4.00416;1.35929;-0.116225;44.16;0.11
8.54009;3.63435;-0.3898;38.05;0.12
10.0776;3.78929;-0.437287;42.2;-0.05
20.5597;1.04711;-0.226395;12.17;0.47
23.3349;0.442986;-0.159612;39.09;-0.43
3.59227;1.15966;-0.0919983;17.56;0.15
8.48051;3.54909;-0.384607;42.46;0.26
22.7307;0.741642;-0.180374;27.27;-0.22
4.75667;1.74922;-0.163663;44.51;-0.39
13.1928;3.32267;-0.444028;29.97;-0.35
6.58362;2.4384;-0.246613;42.41;0.34
5.11085;1.91707;-0.181488;30.75;-0.43
9.2346;3.99603;-0.424764;5.21;0.31
8.72404;4.05085;-0.434374;16.66;-0.39
5.51932;2.02533;-0.196906;44.5;-0.09
9.6751;4.47061;-0.475222;6.32;-0.02
5.09945;1.70867;-0.155143;8.39;0.41
18.1224;1.87435;-0.306909;6.98;-0.02
8.44038;3.72161;-0.397334;24.99;-0.24
17.7044;1.78817;-0.3006;30.18;0.46
13.1311;3.5195;-0.458843;22.79;0.25
22.3692;0.793605;-0.186201;10.59;0.36
21.1913;1.20027;-0.226618;8.66;0.04
16.3127;2.33894;-0.35754;11.45;0.2
23.3537;0.633696;-0.169855;31.96;0
13.2179;3.67451;-0.477029;13.5;0.15
12.4935;3.35054;-0.443659;42.78;-0.42
11.7329;4.39937;-0.535866;13.91;-0.26
19.2281;1.45601;-0.268285;17.07;-0.3
13.9339;3.29946;-0.445684;16.52;0.22
8.86114;3.77002;-0.401719;16.32;0.31
4.62505;1.53281;-0.133305;16.02;0.15
20.0833;0.940405;-0.23823;35.69;-0.5
9.4971;3.68415;-0.424141;41.18;0.47
18.8199;1.4908;-0.272829;41.48;-0.28
23.9505;0.444731;-0.146386;24;-0.35
3.36652;1.09825;-0.0864864;7.23;-0.13
7.01063;2.62685;-0.267357;30.08;0.23
8.54928;3.70917;-0.391425;19.61;-0.09
10.2076;3.93432;-0.452608;40.31;0.42
21.7214;0.916054;-0.203762;18.72;0.31
6.73595;2.72972;-0.282747;12.9;-0.47
17.3;1.93081;-0.321225;13.21;-0.31
12.4611;4.13509;-0.51582;9.42;0.25
12.7588;3.58884;-0.469034;28.06;-0.34
22.8191;0.670062;-0.172952;31.9;0.23
25.1811;0.379691;-0.124221;34.14;0.18
19.5597;1.26944;-0.250814;18.36;0.45
15.7064;2.48091;-0.374161;9.1;0.35
11.1729;4.09496;-0.488169;29.16;-0.27
18.8589;1.5857;-0.279962;27.44;0.27
15.9399;2.22324;-0.354787;30.25;-0.37
9.47494;4.15496;-0.473792;27.71;-0.46
3.93934;1.41427;-0.120985;19.96;-0.45
9.96182;4.70907;-0.515776;14.26;-0.24
11.6774;3.72857;-0.457003;44.18;0.13
24.6433;0.373377;-0.138393;9.23;-0.43
11.6089;3.52456;-0.451752;38.06;-0.45
9.74012;4.24311;-0.464673;29.47;0.2
16.6618;2.25519;-0.348599;19.37;0.28
5.19373;1.75463;-0.15919;11.18;0.26
9.08162;3.73694;-0.412148;30.01;0.41
25.6857;0.112411;-0.113608;42.69;-0.45
15.305;2.62127;-0.386378;33.37;0.14
18.185;1.42488;-0.283603;26.22;-0.49
7.28842;3.14167;-0.329258;27.32;-0.36
10.1887;4.20645;-0.475397;26.69;-0.17
22.9169;0.789533;-0.177956;18.7;0.15
17.987;1.8526;-0.307405;12.29;0.23
14.8077;2.7155;-0.396183;29.43;-0.2
5.3062;1.95555;-0.183933;20.3;-0.32
20.661;0.94762;-0.225602;15.67;-0.49
9.48137;4.2473;-0.463822;26.82;-0.15
20.7651;1.2573;-0.234041;12.83;-0.05
15.9464;2.42684;-0.367281;18.75;-0.18
17.5742;2.02039;-0.322018;6.05;-0.03
19.2705;1.55135;-0.269969;26.76;-0.04
5.56488;1.94384;-0.181912;6.66;-0.02
17.5453;1.87264;-0.315383;6.34;-0.32
10.9368;4.09663;-0.479535;24.81;-0.05
15.3614;2.71022;-0.38908;34.31;-0.13
17.4167;1.8999;-0.318059;27.56;0.33
12.3791;3.15772;-0.405014;44.14;0.49
13.4535;3.47935;-0.462516;15.36;0.29
11.2736;4.32287;-0.506123;22.73;-0.03
15.0547;2.61905;-0.377667;41.59;0.31
23.2085;0.723065;-0.170491;30.98;-0.19
10.6019;3.92881;-0.46009;44.86;0.09
9.577;3.8253;-0.428295;41.9;0.03
17.7431;1.9888;-0.317967;15.3;0.12
8.64509;3.70745;-0.398237;32.21;-0.1
10.8242;3.71494;-0.44343;30.1;0.06
23.9068;0.480511;-0.143205;38.58;-0.39
11.6262;4.08248;-0.490508;25.43;-0.1
21.0674;1.0697;-0.223818;24.22;-0.29
10.9354;4.08065;-0.492408;26.89;-0.38
3.63477;1.23879;-0.102007;35.43;-0.27
23.0087;0.78497;-0.175448;28.39;0.12
3.65197;1.19638;-0.0958626;5.42;-0.11
8.24163;3.62889;-0.383655;16.61;-0.28
16.4861;2.31382;-0.351335;26.2;0.09
10.3338;4.47488;-0.500292;20.69;0.35
14.0212;3.03855;-0.418699;40.1;-0.22
17.4423;1.80397;-0.310237;32.73;-0.38
14.3038;2.97221;-0.418205;25.9;0.5
8.91168;3.73539;-0.401307;14.97;0.48
22.8599;0.6306;-0.174219;36.42;0.12
14.9971;2.83081;-0.39783;28.62;-0.09
7.77774;3.14904;-0.32843;13;-0.06
5.37272;1.82241;-0.168168;12.86;0.36
